symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GS,2010-03-24 00:00:00+00:00,174.41,175.96,173.64,173.64,8396100,147.5507725605,148.8620717834,146.8993529465,146.8993529465,8396100,0.0,1.0
GS,2010-03-25 00:00:00+00:00,174.9,178.73,174.78,175.24,9534300,147.9653123148,151.2054903947,147.863792375,148.2529521444,9534300,0.0,1.0
GS,2010-03-26 00:00:00+00:00,172.87,175.48,171.91,175.38,11811500,146.2479333326,148.4559920241,145.4357738139,148.3713920742,11811500,0.0,1.0
GS,2010-03-29 00:00:00+00:00,174.05,174.43,171.64,173.87,11785600,147.246212741,147.5676925505,145.2073539492,147.0939328312,11785600,0.0,1.0
GS,2010-03-30 00:00:00+00:00,171.38,174.78,170.7,174.26,8184600,144.9873940796,147.863792375,144.4121144205,147.4238726357,8184600,0.0,1.0
GS,2010-03-31 00:00:00+00:00,170.63,171.66,169.85,170.0,8243200,144.3528944556,145.2242739392,143.6930148466,143.8199147714,8243200,0.0,1.0
GS,2010-04-01 00:00:00+00:00,170.22,172.0,169.5,171.72,6480600,144.0060346611,145.5119137687,143.3969150221,145.2750339091,6480600,0.0,1.0
GS,2010-04-05 00:00:00+00:00,173.16,173.37,169.77,170.68,6135000,146.4932731872,146.6709330819,143.6253348867,144.3951944305,6135000,0.0,1.0
GS,2010-04-06 00:00:00+00:00,172.9,173.89,172.15,172.61,7743600,146.2733133175,147.1108528212,145.6388136935,146.0279734629,7743600,0.0,1.0
GS,2010-04-07 00:00:00+00:00,176.36,177.9,172.81,172.89,13887200,149.2004715829,150.5033108108,146.1971733627,146.2648533225,13887200,0.0,1.0
GS,2010-04-08 00:00:00+00:00,179.5,180.8,175.28,176.1,10668800,151.8569100087,152.9567093569,148.2867921243,148.9805117132,10668800,0.0,1.0
GS,2010-04-09 00:00:00+00:00,179.12,181.0,177.5,180.28,8462000,151.5354301992,153.1259092566,150.1649110113,152.5167896176,8462000,0.0,1.0
GS,2010-04-12 00:00:00+00:00,177.84,180.384,177.84,179.36,6040800,150.4525508409,152.6047735655,150.4525508409,151.7384700788,6040800,0.0,1.0
GS,2010-04-13 00:00:00+00:00,179.25,180.0,177.11,177.56,6466400,151.645410134,152.279909758,149.8349712069,150.2156709813,6466400,0.0,1.0
GS,2010-04-14 00:00:00+00:00,184.92,185.94,183.07,183.91,12556400,156.4422272914,157.30514678,154.8771282189,155.5877677977,12556400,0.0,1.0
